hirkod_missing
15313836
15317965
15369074
15338451
15262186
15397237
15385674
15373215
14291899
15288630
15385486
15331631
15372143
15340082
15416635
15375868
15420089
15326672
15307824
15352161
13742451
15409876
15384790
15370222
14973987
15409048
15420735
15296782
13013719
15373810
13719023
15400605
15422555
15403749
15343955
15262031
14844581
15085460
15134579
15381511
15394118
15405072
15074202
15468896
15519295
15004044
15543939
15533036
10250726
15556900
15547612
15468903
15468107
14351648
15527409
15462595
15533030
15156271
15547976
14304336
15156349
15173963
15367588
14059520
15351954
15534000
14421607
15234094
15678143
15640703
13012483
14954650
15561424
15653874
14119269
15145625
15618414
15646389
15272059
15658031
7775620
15499643
15553369
15667963
15684365
15674043
15552160
15685129
15580439
15674894
15609141
12172301
15542975
15677272
15667643
15618135
15597580
15160143
15657696
15457056
15650897
15039744
15407791
15683462
15616286
15684536
