ad_id,ad_price,numpictures,proseller,adoldness,postalcode,production,mileage,clime_id,gas_id,shifter,person_capacity,doorsnumber,documentvalid,color,ccm,highlighted,upload_date,description,advertisement_url,catalog_url,sales_date,is_sold,download_date,sales_update_date,region_id,brand_id,model_id
15441654,1100000,6,False,27,4484,2007-04-01,120000,1,2,M5,5,5,2021-04-01,20,1560,False,2020-02-16,,https://www.hasznaltauto.hu/szemelyauto/ford/fusion/ford_fusion_1_6_tdci_fresh-15441654,http://katalogus.hasznaltauto.hu/ford/fusion_1.6_tdci_fresh-9616,,False,,2020-05-05,15,30,182
15462332,2590000,12,True,29,1112,2008-07-01,175873,4,2,T5,5,5,2021-07-01,10,2148,False,2020-02-21,"Szép állapotú kombi C200-as. Ha vágyunk a német megbízhatóságra és precizitásra, akkor ez a tökéletes ár-érték arányú autó ma a magyar piacon! Motorja az egyik legjobban bevált 136 lóerős tipus, tökéletesen működik, fogyasztása is kedvező. Nagyon kényelmes vezetni, automata váltójával élvezni fogunk minden utat. Belsejét a félbőr ülések teszik még szebbé és komfortosabbá. Minden adat valóságos benne, érdemes eljönni és megnézni, kipróbálni! Autóbeszámítás és hitel lehetséges. További kérdésével keresse bátran kollégáinkat a megadott számokon. - Folyamatosan vásárolunk szinte bármilyen típusú személyautót 2000-es évjárattól telephelyünkön, akár előzetes bejelentkezés nélkül is. KOCSIGURU Korrekt minőség remek áron, kényelmesen!",https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/c_200/mercedes-benz_c_200_t_cdi_avantgarde_automata-15462332,http://katalogus.hasznaltauto.hu/mercedes-benz/c_200_t_cdi_avantgarde_automata-18017,,False,2020-03-21,2020-03-21,2,58,63
15571388,2490000,11,True,3,9028,1900-01-01,208058,2,2,T5,5,5,1900-01-01,40,2148,False,2020-03-18,"SZAKSZERVIZ ÁLTAL VEZETETT ELEKTRONIKUS SZERVIZKÖNYV--SZERVIZ SZÁMLÁK--ÖSSZES GYÁRI DOKUMENTÁCIÓ--BŐR MULTIKORMÁNY--KÉT ZÓNÁS AUTOMATA KLÍMA--TEMPOMAT--SEBESSÉGHATÁR<span style=""visibility: hidden;"">&#8203;</span>OLÓ/LIM6--ELEKTROMOS FŰTHETŐ FÉLBŐR ÜLÉSEK DERÉKTÁMASSZAL--PARKOLÁST SEGÍTŐ RADAROK ELŐL-HÁTUL--AUTOMATA FÉNYSZÓRÓK--SZÍNES NAGY NAVIGÁCIÓ TELJES EURÓPA TÉRKÉPPEL--BLUETOOTH-OS KIHANGOSÍTÓ--HANGVEZÉRLÉS--MER<span style=""visibility: hidden;"">&#8203;</span>EVLEMEZ--DVD--LEVEHETŐ VONÓHOROG/THULE/--17-ES GYÁRI ALUFELNI!",https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/c_200/mercedes-benz_c_200_t_cdi_avantgarde_automata_nagy_navi_parkradar_felbor_17alu_automata_klima-15571388,http://katalogus.hasznaltauto.hu/mercedes-benz/c_200_t_cdi_avantgarde_automata-18017,,False,2020-03-21,2020-03-21,7,58,63
15345649,2499000,12,True,57,1161,2010-10-01,349000,1,2,T5,8,4,2022-01-01,10,2148,False,2020-01-24,"Hatalmas, 9 teljes értékű üléssel és még így is méretes csomagtérrel rendelkező mikrobusz! Körablakos, elegáns megjelenés, hófehér színben, sötétített üvegekkel! Minden lényeges extra megtalálható benne! Elől műszerfalba épített Androidos fejegység navigációval, médialejátszóval, a hátsó térben óriási kijelzős Android monitor! Az autó rendszeresen karbantartott, napi használatban volt ezidáig, ebből adódóan apróbb hibái vannak, amely tükrözi a piaci ár alatti vételárat! Aki a karcolásokat akarja számolgatni, nem fogja megtalálni a számításait, de aki egy megbízható, kényelmes, jó megjelenésű szállítójárművet szeretne, annak ideális választás!",https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/vito/mercedes-benz_vito_111_cdi_l_automata_9_ules_navi_android_monitor-15345649,http://katalogus.hasznaltauto.hu/mercedes-benz/111_cdi_l_automata-51401,,False,2020-03-21,2020-03-21,2,58,60
15630564,9500000,12,False,18,1239,2017-03-01,22000,3,1,T9,2,2,2021-03-01,10,1595,True,2020-04-07,"ELADÓ típus váltás miatt, egy második autóként, csak nyáron használt, sérülésmentes, rendszeresen szervizelt és gondosan karbantartott Mercedes-Benz SLC 180-as Sportautó /Roadster. Extrái: LED Intelligens Világítási rendszer, Belsőtér hangulatfény csomag, Ambiente megvilágítás, Bukókeret, Dynamic Select kapcsoló, Sávtartó csomag, Parkolás aszisztens, Garmin navigációs rendszer, Tükör csomag, Lopásvédelmi csomag / rablás-lopás gátló/. Illetve gyári Mercedes me connect GPS nyomkövető rendszerrel rendelkezik, ami telefonos aplikáción keresztül jelzi a gépkocsi pontos pozícióját és az egyéb funkciók is működtethetőek azon keresztül, + adatokat is közöl az autóról, pld. üzemanyag szint, keréknyomás, ajtók, ablakok nyitott-zárt állapota, stb. A gyári teljes körű garanciájából még 11 hónap van a lejáratig / 2021.03.08.-ig/. Érdeklődni és további kérdések esetén kérem a hirdetésben szereplő telefonszámon keressen! Megtekintés Budapesten belül, előre egyeztetett időpontban, rugalmasan megoldható!",https://www.hasznaltauto.hu/szemelyauto/mercedes-benz/slc_180/mercedes-benz_slc_180_9g-tronic-15630564,http://katalogus.hasznaltauto.hu/mercedes-benz/slc_180_9g-tronic-101203,,False,2020-04-25,2020-04-25,2,58,1136
s,120000,4,False,41,8391,1989-04-01,48800,0,1,M4,0,0,1900-01-01,0,1348,False,2020-01-02,"Eladó ARO 10.4 korának megfelelő állapotban jól működő hajtásokkal indítható kipróbálható új vízpumpával, főfékhengerrel alúl korrodált karosszériával okmányok nélkül egyben jó mintájú 4 egyforma nyári 185x14 gumikkal további infó telefonon",https://www.hasznaltauto.hu/szemelyauto/aro/10_4/aro_10_4-15262031,no catalog,2020-05-05,True,,,19,6,1278
